,uid,num_transits_flux_global,num_transits_flux_local,num_transits_flux_global_unfolded,num_transits_flux_local_unfolded,num_transits_flux_global_norm,num_transits_flux_global_unfolded_norm,num_transits_flux_local_norm,num_transits_flux_local_unfolded_norm,num_transits_flux_trend_global,num_transits_flux_trend_local,num_transits_flux_trend_global_unfolded,num_transits_flux_trend_local_unfolded,num_transits_flux_trend_global_norm,num_transits_flux_trend_local_norm,num_transits_flux_trend_global_unfolded_norm,num_transits_flux_trend_local_unfolded_norm,num_transits_flux_odd_local,num_transits_flux_odd_local_norm,num_transits_flux_even_local,num_transits_flux_even_local_norm,num_transits_flux_weak_secondary_local,num_transits_flux_weak_secondary_local_norm,num_transits_centroid_offset_distance_to_target_global,num_transits_centroid_offset_distance_to_target_local,num_transits_momentum_dump_local,flux_global_stat_abs_min,flux_local_stat_abs_min,flux_trend_global_stat_max,flux_trend_global_stat_min,flux_odd_local_stat_se_oot,flux_odd_local_stat_std_oot_bin,flux_even_local_stat_se_oot,flux_even_local_stat_std_oot_bin,flux_odd_local_stat_abs_min,flux_even_local_stat_abs_min,flux_weak_secondary_local_stat_abs_min,centroid_offset_distance_to_target_global_stat_abs_max,centroid_offset_distance_to_target_local_stat_abs_max,avg_oot_centroid_offset,std_oot_centroid_offset,peak_centroid_offset,mid_local_flux_shift,mid_global_flux_shift,transit_depth_hat,transit_depth_hat_se,odd_even_flag,transit_depth_odd_hat,transit_depth_odd_hat_se,transit_depth_even_hat,transit_depth_even_hat_se,wks_transit_depth_hat,wks_transit_depth_hat_se,shard
0,167526485-1-S1-39,110,110,20,20,110,20,110,20,110,110,20,20,110,110,20,20,58,58,57,57,109,109,110,110,-1,0.011345642355566588,0.011199544644225257,1.0013909042309455,0.9986818546038696,0.0005208584852227688,0.006810088003040859,0.0004900146906314977,0.010123553171821974,0.011235719242622677,0.011136053941185331,0.0008415054470388927,3.3425224806317475,3.3340102458691923,3.140263528911696,0.06679324468077323,0.19374671695749646,15,40,11422.254488911654,988577.7455110884,replaced bins 0 (odd) 0 (even) ,11529.561694814562,33.4924432781347,11341.302570147982,29.32529098360912,1005.6416239057064,19.19567594058108,shard-00000-of-00001-node-2
1,167526485-2-S1-39,109,109,20,20,109,20,109,20,109,109,20,20,109,109,20,20,57,57,56,56,109,109,109,109,-1,0.011316359648011387,0.0008521778928947342,1.0013889949595234,0.9986827009236795,0.006153084871169103,0.14351162903272283,0.006227558086189407,0.15751792460721992,0.0008766046644923531,0.0008359555450662137,0.000141976696076651,59.42662086862555,57.999372216470846,55.061636090732065,1.2386839572515793,2.2739531211797015,-11,-89,1007.8241234311447,998992.1758765689,replaced bins 0 (odd) 0 (even) ,1003.482713520576,25.647015537436566,1018.5423510497005,25.620195980053047,75.12372592444194,18.294068613365777,shard-00000-of-00001-node-2
0,167526485-1-S6,5,5,20,20,5,20,5,20,5,5,20,20,5,5,20,20,2,2,3,3,5,5,5,5,-1,0.01112596222691089,0.010993027657870936,1.0018882225982013,0.9983203386252162,0.0021045038951934274,0.014106795240826593,0.001743512523461503,0.012484957401588172,0.01069637313896532,0.011380538280653107,0.00026189489604557794,3.7789612068501968,3.4104227386659285,2.953614041585138,0.24422518397053491,0.4568086970807905,2,108,11050.675011957555,988949.3249880425,replaced bins 0 (odd) 0 (even) ,10762.386698757398,87.15786547190794,11489.872945850355,98.8721893660599,46.79014068798004,69.63977858392049,shard-00000-of-00001-node-2
